WigleWifi-1.4,appRelease=2.26,model=PRO 6,release=6.0,device=PRO6,display=Flyme 6.1.0.0G,board=PRO6,brand=Meizu
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:a1:a2:5d,BEZEQINT-A259,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 22:05:59,11,-78,32.10114,35.2068633333333,261.5,5.69999980926514,WIFI
f4:f2:6d:de:54:58,sosenko,[WPA2-PSK-CCMP][WPS][ESS],2017-11-05 22:05:59,6,-83,32.10114,35.2068633333333,261.5,5.69999980926514,WIFI
7c:b7:33:2c:d8:e7,AlexLovesIra,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:05:59,6,-86,32.10114,35.2068633333333,261.5,5.69999980926514,WIFI
00:78:9e:fa:34:51,HOTBOX-B5A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:05:59,1,-80,32.10114,35.2068633333333,261.5,5.69999980926514,WIFI
42503_6701_4464103,Pelephone,HSPA;il,2017-11-05 22:05:59,0,-97,32.10114,35.2068633333333,261.5,5.69999980926514,GSM
14:ae:db:a1:a2:5d,BEZEQINT-A259,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 22:07:37,11,-63,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
f4:f2:6d:de:54:58,sosenko,[WPA2-PSK-CCMP][WPS][ESS],2017-11-05 22:07:37,6,-83,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
7c:b7:33:2c:d8:e7,AlexLovesIra,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:07:37,6,-83,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
00:78:9e:fa:34:51,HOTBOX-B5A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:07:37,1,-73,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
f4:f2:6d:5e:99:d6,sosenko,[WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 22:07:37,6,-87,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
e8:fc:af:91:25:41,ManchesterFans,[WPA2-PSK-CCMP][WPS][ESS],2017-11-05 22:07:37,6,-93,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
e8:fc:af:92:9c:de,Dave.da.man_2.4,[WPA2-PSK-CCMP][WPS][ESS],2017-11-05 22:07:37,1,-94,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
72:fc:af:91:25:42,Bezeq Free MA028E,[ESS],2017-11-05 22:07:37,6,-92,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
5a:fc:af:92:9c:df,Bezeq Free,[ESS],2017-11-05 22:07:37,1,-94,32.1034766666667,35.208045,-121.6,9.10000038146973,WIFI
42503_6701_4464103,Pelephone,HSPA;il,2017-11-05 22:07:37,0,-97,32.1034766666667,35.208045,-121.6,9.10000038146973,GSM
14:ae:db:a1:a2:5d,BEZEQINT-A259,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 22:08:51,11,-66,32.1012716666667,35.2066783333333,252,7.30000019073486,WIFI
f4:f2:6d:de:54:58,sosenko,[WPA2-PSK-CCMP][WPS][ESS],2017-11-05 22:08:51,6,-75,32.1012716666667,35.2066783333333,252,7.30000019073486,WIFI
7c:b7:33:2c:d8:e7,AlexLovesIra,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:08:51,6,-80,32.1012716666667,35.2066783333333,252,7.30000019073486,WIFI
00:78:9e:fa:34:51,HOTBOX-B5A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 22:08:51,1,-72,32.1012716666667,35.2066783333333,252,7.30000019073486,WIFI
f4:f2:6d:5e:99:d6,sosenko,[WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 22:08:51,6,-87,32.1012716666667,35.2066783333333,252,7.30000019073486,WIFI
